lemma	part_of_speech	translations
's-hertogenbosch	noun	スヘルトーヘンボス|デン・ボス
able	adjective	れる|できる|有能|腕利き|有資格
blast	noun	細胞|疾風|突風
burger	noun	ーガー|バーガー
chan		ゃん
cide		し|す人
ed		た|味
er		っと|り
esque		ぽい
est		番|も
gon		形
ible		れる
ide		物
ify		る
in-law		理
ing		いる|と
ish		ぽい
ism		ズム|義
ist		義者
itis		炎
ize		る
kun		ん
land	noun	ンド|土地|土|陸地|不動産|国|着陸
less	adverb	い|-|し|...より少ない|それほど...ない|より小さい
like	adjective	ぽい|様に|たい|みたい|よう|形容詞|好み|って言うか|のように|好む
logist		者
logy		ジー
pedia		ディア
philia	noun	フィリア|...派|嗜好
phobia	noun	ォビア|怖症|い|悪|恐怖症
phone	noun	者|単音|音価|電話|電話をかける
proof	noun	-|証拠
san		ん
th		目
tion		ション|化
tomy		除
um		ム
wise	adjective	つ|賢い|賢明
y		状|質|たい|き|り|ゃん
.net	noun	ドットネット
1 chronicles	noun	歴代志上
1 kings	noun	列王記上
1 samuel	noun	サムエル記上
1-up	noun	1UP|ワンアップ
100 metres	noun	100メートル
1000 metres	noun	1000メートル
10000 metres	noun	10000メートル
101	adjective	入門
120-cell	noun	正百二十胞体
1500 metres	noun	1500メートル
16-cell	noun	正十六胞体
18 holes	noun	18ホール
1992	noun	一九九二年|１９９２年
2 chronicles	noun	歴代志下
2 kings	noun	列王記下
2 samuel	noun	サムエル記下
200 metres	noun	200メートル
24-cell	noun	正二十四胞体
24-hour clock	noun	24時制
3d job	noun	3K
3d printer	noun	3Dプリンター
3x3 basketball	noun	3x3
400 metres	noun	400メートル
5-cell	noun	正五胞体
50 cent army	noun	五毛党
5000 metres	noun	5000メートル
5w1h	noun	5W1H
600-cell	noun	正六百胞体
65537-gon	noun	六万五千五百三十七角形
7 up	noun	セブンアップ
7-eleven	noun	セブン|セブンイレブン
8-bit	adjective	8ビット
8-cell	noun	正八胞体
800 metres	noun	800メートル
9 to 5	noun	九時五時
9/11	noun	9・11|アメリカ同時多発テロ
90s	noun	90年代
a coruña	noun	ア・コルーニャ|ラ・コルーニャ
a major	noun	イ長調
a minor	noun	イ短調
a-bomb	noun	原爆|原子爆弾
a-flat major	noun	変イ長調
a-flat minor	noun	変イ短調
a-sharp major	noun	嬰イ長調
a-sharp minor	noun	嬰イ短調
abc	noun	いろは
ac	noun	交流
ac adapter	noun	ACアダプタ
ac/dc	adjective	両刀使い
ad	adverb	紀元|西暦|西紀
afu	noun	ウクライナ軍
ai	noun	人工知能
aids	noun	エイズ
ak-47	noun	エーケー４７
and	noun	アンド|と|や|かつ|とか|そして
anfo	noun	硝安油剤爆薬
apec	noun	アジア太平洋経済協力会議
asap	adverb	なるはや|なるべく早く|大至急
ascii	noun	ASCII|アスキー
ascii art	noun	ASCIIアート|アスキーアート
asean	noun	アセアン
asmr	noun	ASMR
asmrtist	noun	ASMRtist
atm	noun	エーティーエム|ATM|現金自動預払機|自動現金預払機|自動窓口機|非同期転送モード
aachen	noun	アーヘン
aalborg	noun	オールボルグ
aalenian	noun	アーレニアン
aalst	noun	アールスト
aar	noun	アーレ川
aarhus	noun	オーフス
abadan	noun	アーバーダーン
abakan	noun	アバカン
abaza	noun	アバザ人|アバザ語
abbas	noun	アッバース
abbeville	noun	アブヴィル
abbott	noun	アボット
abdullah	noun	アブドラ
abdullatif	noun	アブデラティフ
abe's salamander	noun	阿部山椒魚
abel	noun	アベル
abenomics	noun	アベノミクス
aberdeen	noun	アバディーン
abha	noun	アブハー
abhidharma	noun	阿毘達磨
abidjan	noun	アビジャン
abiko	noun	我孫子
abinomn	noun	アビノムン語
abkhaz	noun	アブハズ語|アブハジア語
abkhazia	noun	アブハジア
aborigine	noun	アボリジニ|原住民
abraham	noun	アブラハム|イブラヒム|エイブラハム
abruzzo	noun	アブルッツォ州
absalom	noun	^アブサロム
abu dhabi	noun	アブダビ
abuja	noun	アブジャ
abydos	noun	アビドス
abyssinia	noun	アビシニア
abyssinian	noun	アビシニアン
acarnania	noun	アカルナニア
accra	noun	アクラ
achaean	adjective	アカイアの|アカイア人
acheron	noun	アケローン
achilles	noun	アキレウス|アキレス
achilles heel	noun	アキレス腱
achilles tendon	noun	アキレス腱
achlys	noun	アクリュース
acre	noun	アクレ|エーカー
acropolis	noun	アクロポリス
actaeon	noun	アクタイオーン
actium	noun	アクティウム
acts of the apostles	noun	使徒行伝|使徒言行録
adam	noun	アダム
adam and eve	noun	アダムとイヴ
adam's apple	noun	喉頭隆起|喉仏
adamic	noun	アダムの言語
adana	noun	アダナ
addis ababa	noun	アジスアベバ|アディスアベバ
addison's disease	noun	アジソン病
adelaide	noun	アデレード|アデライド
aden	noun	アデン
adige	noun	アディジェ川
adriatic	adjective	アドリア
adriatic sea	noun	アドリア海
advent	noun	降臨節
advent calendar	noun	アドベントカレンダー
adygea	noun	アディゲ共和国|アディゲ
adyghe	noun	アディゲ語
aeaea	noun	アイアイエー島
aegean sea	noun	エーゲ海
aelita	noun	アイリータ
aeneid	noun	アエネーイス
aeolian harp	noun	エオリアン・ハープ
aeolus	noun	アイオロス
aeroflot	noun	アエロフロート
aesacus	noun	アイサコス
aeschines	noun	アイスキネス
aeschylus	noun	アイスキュロス
aesop	noun	アイソーポス|イソップ
aether	noun	アイテール
affenpinscher	noun	アッフェンピンシャー|アーフェンピンシャー
afghan	adjective	アフガニスタン|アフガニスタン人|アフガン人|アフガニスタン語
afghan hound	noun	アフガン・ハウンド
afghanistan	noun	アフガニスタン|アフガン
africa	noun	アフリカ|阿弗利加
african	adjective	アフリカ|アフリカ人
african union	noun	アフリカ連合
african blue tit	noun	テネリフェアオガラ
african elephant	noun	アフリカ象
african forest elephant	noun	丸耳象
african hunting dog	noun	リカオン
african nutmeg	noun	イロンバ
african violet	noun	セントポーリア
african wildcat	noun	利比亜山猫
african-american	noun	アフリカ系アメリカ人
african-american vernacular english	noun	黒人英語
afrikaans	noun	アフリカーンス語
afrikaner	noun	アフリカーナー
afro-eurasia	noun	アフロ・ユーラシア
afroasiatic	noun	アフロ・アジア語族
agamemnon	noun	アガメムノン|アガメムノーン
agartala	noun	アガルタラ
age of enlightenment	noun	啓蒙時代
aglaia	noun	アグラヤ
agni	noun	アグニ
agra	noun	アーグラ
agrigento	noun	アグリジェント
aguilares	noun	アギラレス
ahasuerus	noun	アハシュエロス
ahmed	noun	アフマド
ahmedabad	noun	アフマダーバード
ahnenerbe	noun	アーネンエルベ
ahriman	noun	アフリマン|アンラ・マンユ|アーリマン
ahura mazda	noun	アフラ・マズダー|祆
aichi	noun	愛知|愛知県
aigio	noun	アイギオ|エギオ
ainu	noun	アイヌ語|アイヌ
aion	noun	アイオーン
air force one	noun	エアフォースワン
airbus	noun	エアバス
aizawl	noun	アイザウル
aizu	noun	会津若松
aizuwakamatsu	noun	会津若松|會津若松
ajaccio	noun	アジャクシオ|アヤッチョ
ajax	noun	アイアース|アヤックス
akabane	noun	赤羽
akaiwa	noun	赤磐
akasagarbha	noun	虛空藏
akashi	noun	明石
akhenaten	noun	アクエンアテン
aki	noun	安芸
akio	noun	章男
akiruno	noun	あきる野
