lemma	part_of_speech	translations
's-hertogenbosch	noun	Хертогенбос
'umra	noun	у́мра
's		ев|ин|ов|ын|ёв
able	adjective	а́емый|и́мый|я́емый|в [[состояние|состоя́нии]]|спосо́бный|уме́лый
ance		ение
ane		а́н
angle	noun	уго́льник|англ|у́гол|угол|то́чка зре́ния|рыба́чить
arch	adjective	а́рх|игри́вый|лука́вый|а́рка|дуга́|арка|[[изгиба́ться]] [[дуга|дуго́й]]
archy		а́рхия
ation		а́ция|ение
centric		центри́ческий
centrism	noun	центри́зм
chan		тян
choron		яче́йник
cide		цид|бийство|бийца
cracy		кра́тия
crat		крат
cratic		крати́ческий
drome		дро́м
ed		л|ла|ли|ло
eme		е́ма
ence		е́нция
er		а́тель|а́тор|а́ч|ер|ец|и́к
ese		ец|ка|ский
esque		е́скный|подо́бный
ess	noun	ка|ша|а|е́сса|и́са|и́ха|эс
est		а́йший|е́йший|аи-|аибо́лее|а́мый|ашь
fold	noun	кра́тный|кра́тно|скла́дка|скла́дывание|коша́ра|па́ства|перегиба́ть
free	adjective	ез-|ес-|свобо́дный|во́льный|свободный|вольный|беспла́тно|вы́зволить
gate	noun	гейт|воро́та|врата́|кали́тка|[[вы́ход]] на [[посадка|поса́дку]]|вы́ход
gon		уго́льник
graph	noun	граф|гра́фик|диагра́мма
graphic	adjective	графи́ческий|изобрази́тельный|нагля́дный|карти́нка|рису́нок|чертёж
graphy		графия
hedral		гра́нный
hedron		гра́нник
hood	noun	ство|капюшо́н|башлы́к|капо́т|[[откидно́й]] верх|вы́тяжка
ian	noun	ец|и́нец|и́нка|инец|инка|ский|Иэн
ible		а́емый|а́ющийся
ic		ский
ics		ика
id		и́д|и́да|ид
ide	noun	ид|язь
ification		ифика́ция|фика́ция
ify		ифици́ровать
in-law	noun	о [[сторона|стороны́]] [[муж|му́жа]]/[[жена|жены́]]|[[родня́]] (со [[сторона|стороны́]] [[муж|му́жа]]/[[жена|жены́]])|сва́тья|сват
ing		а́ние|е́ние|ля|о́вка|ащий|ающий
ish		ва́тый|ский
ism		и́зм|изм
ist		ист|и́стка
ite		ист|истка|ит
itis		и́т
ity		ите́т|ность|ство
ive		и́вный
ization		иза́ция
ize		изи́ровать|изова́ть
kun		кун
lalia		лали́я
land	noun	иста́н|ия|ла́ндия|ланд|ленд|лэнд|зе́мли|приземля́ться
less	adverb	ез-|ес-|ме́нее|ме́ньше|ме́ньший|менее|за вы́четом
like	adjective	подо́бный|похо́жий|лайк|лойс|ти́па|э́то са́мое|как|нра́виться
ling		ёнок|о́нок|ок|ёк
logical	adjective	логи́ческий|логический|логи́чный
logist		лог
logy		ло́гия|едение|нание
ly		ски|ский|е|о|о-...-ски|же-
mancy		мантия
ment		тельство
meter	noun	ме́р|метр|счётчик|измери́тель|разме́р|ритм
morphism	noun	морфи́зм|морфизм
naut		на́вт|на́втка
ness	noun	ость|ность|ство|щи́на|мыс
nomy		но́мия
ology		оло́гия
on	adjective	он|вкл.|вклю́чить|на|за счёт|с
one	noun	о́н|еди́нственный|оди́н|тот са́мый|едини́ца|один|раз|мо́жно
osis		оз
ous		ный|о́зный|истый
pathy		патия
pedia		пе́дия
philia	noun	фи́лия|фили́я
phobia	noun	фо́бия|боя́знь|фобия
plasty		пла́стика
sama		сама
san		сан
saur		за́вр
scope	noun	ско́п|масшта́б|преде́л|разма́х|рамка|сфе́ра
ship	noun	ство|су́дно|парохо́д|корабль|кора́бль|шипперить
stan	verb	иста́н|ста́н|стэнить
teen	noun	надцать|бе́дствие|го́ре|несча́стье
th		ий|о́й|ый
tion		ция
ty		деся́т|дцать
ure		у́ра
y		ивый|ий|ый|ка|ек|ик
yl		ил
.net	noun	дот не́т
00s	noun	нулевые
0th	adjective	0-ой
1 chronicles	noun	Пе́рвая книга Паралипомено́н
1 corinthians	noun	Пе́рвое посла́ние к Кори́нфянам
1 john	noun	Пе́рвое посла́ние Иоа́нна
1 peter	noun	Пе́рвое посла́ние Петра́
1 thessalonians	noun	Пе́рвое посла́ние к Фессалоники́йцам
1 timothy	noun	Пе́рвое посла́ние к Тимофе́ю
101	adjective	для чайников|основы
10th	adjective	10-ый
11th	adjective	11-ый
12th	adjective	12-ый|12-е|12-й|12-я
13th	adjective	13-ый
14th	adjective	14-ый
15 minutes of fame	noun	пятна́дцать мину́т сла́вы
15th	adjective	15-ый
16-cell	noun	шестнадцатиячейник
1992	noun	1992 г.|[[ты́сяча]] [[девятьсо́т]] [[девяно́сто]] [[второ́й]] год
1st	adjective	1-й
2 chronicles	noun	Втора́я кни́га Паралипомено́н
2 corinthians	noun	Второ́е посла́ние к Кори́нфянам
2 john	noun	Второ́е посла́ние Иоа́нна
2 peter	noun	Второ́е посла́ние Петра́
2 thessalonians	noun	Второ́е посла́ние к Фессалоники́йцам
2 timothy	noun	Второ́е посла́ние к Тимофе́ю
20th	adjective	20-це
24-hour clock	noun	24-часовой формат времени
24/7	adverb	24/7|круглые сутки
2nd	adjective	2-о́й
3 john	noun	Тре́тье посла́ние Иоа́нна
3d	adjective	3D
3d printer	noun	3D-при́нтер
3d printing	noun	3D-печа́ть
3rd	adjective	3-ий|3-й
4th	adjective	4-ый
5th	adjective	5-ый
610 office	noun	[[о́фис]] 610
65537-gon	noun	правильный 65537-угольник
68-95-99.7 rule	noun	[[пра́вило]] трёх [[си́гм]]
6th	adjective	6-ой
7th	adjective	7-ой
8-bit	adjective	восьмиби́тный
8th	adjective	8-ой
9 to 5	noun	с девяти́ до пяти́
99 percent	noun	на 99%|на [[девяно́сто]] [[де́вять]] [[процент|проце́нтов]]
9th	adjective	9-ый
a	noun	Т|а|эй
a coruña	noun	Ла-Кору́нья
a major	noun	ля мажо́р|ля мажор
a minor	noun	ля мино́р|ля минор
a-bomb	noun	а́томная бо́мба
a-flat major	noun	ля-бемо́ль мажо́р
a-flat minor	noun	ля-бемо́ль мино́р
a-sharp major	noun	ля-дие́з мажо́р
a-sharp minor	noun	ля-дие́з мино́р
abc	noun	а́збука|азы́|буква́рь
ac	noun	переме́нный ток
ad	adverb	н. э.|на́шей э́ры|по́сле Р. Хр.
adhd	adjective	СДВГ
aew	noun	ДРЛО
afu	noun	ВСУ
ai	noun	ИИ́|ИИ
ai winter	noun	зима [[иску́сственный|искусственного]] [[интелле́кт|интеллекта]]
aids	noun	СПИД
ak-47	noun	АК-47|автома́т Кала́шникова
als	noun	БАС
ao	noun	АО
apc	noun	БТР
apec	noun	АТЭ́С|Азиа́тско-Тихоокеа́нское экономи́ческое сотру́дничество
asap	adverb	как мо́жно быстре́е|как мо́жно скоре́е
asd	noun	ДМПП|РАС
asean	noun	АСЕА́Н
asmr	noun	АСМР
assr	noun	АССР
atgm	noun	ПТУР
atm	noun	банкома́т
awol	adjective	в [[самоволка|самово́лке]]|в [[самовольный|самово́льной]] [[отлучка|отлу́чке]]|[[самовольный|самово́льная]] [[отлу́чка]]|[[самовольный|самово́льное]] [[увольне́ние]]|самово́лка|самохо́д
aachen	noun	А́хен|Аахен
aalborg	noun	О́льборг
aar	noun	А́ре
aarau	noun	А́арау
aargau	noun	А́аргау|А́ргау
aarhus	noun	О́рхус
aaron	noun	Ааро́н|Аарон
aaron's confession	noun	ааро́ново согла́сие|ааро́новщина
aaron's rod	noun	ааронов жезл
ababil	noun	Абабиль
abadan	noun	Абада́н
abaddon	noun	Аваддо́н
abaetetuba	noun	Абаэтетуба
abakan	noun	Абака́н
abastumani	noun	Абастума́ни
abaza	adjective	абази́нский|абази́н|абази́нка
abbas	noun	Абба́с
abbay	noun	Абба́й
abbeville	noun	Аббеви́лль
abbotsford	noun	А́бботсфорд
abbott	noun	Э́ббот
abbottabad	noun	Абботтаба́д
abdon	noun	Авдо́н
abdul	noun	Абду́л
abdulkadir	noun	Абдул-Кады́р
abdullah	noun	Абдулла́
abdullatif	noun	Абделлати́ф
abe's salamander	noun	бамбу́ковый углозу́б
abednego	noun	Авденаго́
abel	noun	А́вель|Авель|Э́йбел
aberdeen	noun	Аберди́н
abgar	noun	Абга́р|Авга́рь
abha	noun	Абха
abhimanyu	noun	Абхима́нью
abidjan	noun	Абиджа́н|Абиджан
abigail	noun	Авиге́я|Авигея|А́биге́л|Абиге́йл|Абиге́ль|Э́бигейл|го́рничная
abimelech	noun	Авиме́лех
abinomn	noun	абиномн
abkhaz	adjective	абха́зский|абха́з|абха́зка
abkhaz assr	noun	Абха́зская АССР
abkhaz autonomous soviet socialist republic	noun	Абха́зская Автоно́мная Сове́тская Социалисти́ческая Респу́блика
abkhazia	noun	Абха́зия|Абхазия
abner	noun	Авени́р
aboriginal	noun	[[коренно́й]] [[жи́тель]]|абориге́н|автохто́н|тузе́мец|уроже́нец|абориге́нный
aborigine	noun	абориге́н|абориге́нка|автохто́н|коренно́й жи́тель|тузе́мец
aborigines	noun	абориген
abovyan	noun	Абовя́н
abqaiq	noun	Абка́йк
abraham	noun	Авраа́м|Ибраги́м|Ибрахи́м|Абра́м|Э́йбрахам|Ибрагимов
abram	noun	Авраа́м
abramoff	noun	Абра́мов
abramov	noun	Абра́мов
abramsky	noun	Абра́мский
abrek	noun	абре́к
abruzzi apennines	noun	Абруццкие Апенни́ны
abruzzo	noun	Абру́ццо
absalom	noun	Авессало́м
absheron peninsula	noun	Апшеро́нский полуо́стров
absurdistan	noun	Абсурдистан
abu dhabi	noun	А́бу-Да́би|Абу-Даби
abuja	noun	Абу́джа
abuladze	noun	Абула́дзе
abydos	noun	А́бидос
abyssinia	noun	Абисси́ния|Абиссиния
abyssinian	adjective	абисси́нский|абиссинский|абисси́нец|абисси́нка|абисси́нская ко́шка|абисси́нский кот
abyssinian well	noun	абисси́нский коло́дец|тру́бчатый коло́дец
abzakh	noun	абадзехи
academy of sciences	noun	акаде́мия нау́к
acadian owl	noun	североамерика́нский мохноно́гий сыч
accra	noun	А́ккра|Аккра
aceh	noun	А́чех
acehnese	noun	аче́хский язы́к
acemoglu	noun	Аджемоглу́|Асемоглу́
aceso	noun	Акесо
achaea	noun	Аха́йя|Ахе́я
achaemenes	noun	Ахеме́н
achaemenid	adjective	ахемени́дский|Ахемени́д
achelous	noun	Ахело́й
acheron	noun	Ахеро́н
achilles	noun	Ахи́лл|Ахилле́с|Ахилл
achilles heel	noun	ахилле́сова пята́
achilles tendon	noun	ахи́ллово сухожи́лие|пя́точное сухожи́лие
achlys	noun	Ахлис
acmeism	noun	акмеи́зм
acoetes	noun	Аке́т|Ако́йт
aconcagua	noun	Аконка́гуа
acre	noun	А́кка|А́кко|А́кра|А́кри|акр
acropolis	noun	Акро́поль|Акрополь|акрополь
actaeon	noun	Актео́н
actium	noun	А́кций|А́кциум
acts of the apostles	noun	Дея́ния апо́столов|Дея́ния святы́х апо́столов
adachi	noun	Ада́ти
adak	noun	Адак
adam	noun	Ада́м|Адам
adam and eve	noun	Ада́м и Е́ва
adam's apple	noun	ада́мово я́блоко|кады́к|горта́нный вы́ступ
adana	noun	Адана́
adapazarı	noun	Адапазары́
addis ababa	noun	Адди́с-Абе́ба|Аддис-Абеба
addison's disease	noun	боле́знь Аддисо́на
adelaide	noun	Аделаи́да|Аделаида
adelard	noun	Аделард
adelie penguin	noun	пингви́н Адели́
aden	noun	А́ден|Аден
adige	noun	А́дидже|Эч
aditi	noun	А́дити
adjara	noun	Аджа́рия|Аджария
adjaran	adjective	аджа́рский|аджа́рец|аджа́рка
adjuvanto	noun	Адьюванто
admiralty islands	noun	острова́ Адмиралте́йства
adolph	noun	Адо́льф
adonai	noun	Адона́й
adonis	noun	Адо́нис|Адонис
adonis blue	noun	голубя́нка краси́вая|голубя́нка прекра́сная
adria	noun	А́дрия
adrian	noun	Адриа́н|Андриа́н
adrianople	noun	Адриано́поль
adriatic	adjective	адриати́ческий|адриатический
adriatic sea	noun	Адриати́ческое мо́ре|Адриатическое море
advent	noun	Адве́нт|прише́ствие|Адвент|приход|изобретение|наступление
advent calendar	noun	адве́нт-календа́рь|предрожде́ственский календа́рь|рожде́ственский календа́рь
adventism	noun	адвенти́зм
adventist	noun	адвенти́ст|адвенти́стка
adygea	noun	Адыге́я|Республика Адыгея
adygeysk	noun	Адыге́йск
adyghe	noun	адыге́йский|адыге́йский язы́к
adyghe autonomous oblast	noun	Адыге́йская автоно́мная о́бласть
adıyaman	noun	Адыяма́н
aegean	adjective	эгейский
aegean islands	noun	Эге́йские острова́
aegean sea	noun	Эге́йское мо́ре|Эгейское море
aegeus	noun	Эге́й|Эгей
aegidius	noun	Эги́дий
aegina	noun	Эги́на
aeka	noun	Аэка
aelita	noun	Аэли́та
aeneas	noun	Эне́й|Эней
aeneid	noun	Энеи́да
aeolian harp	noun	эо́лова а́рфа
aeolus	noun	Эо́л
aeroflot	noun	Аэрофло́т
aesacus	noun	Э́сак
aeschines	noun	Эсхин
aeschylus	noun	Эсхи́л|Эсхил
aesculapian snake	noun	эскула́пов по́лоз|эскула́пова змея́
aesculapius	noun	Эскула́п
aesop	noun	Эзо́п|Эзоп
aesopian	adjective	эзо́пов
aether	noun	Эфи́р
aetius	noun	Аэ́тий|Аэ́ций
aetolia	noun	Это́лия
afanasy	noun	Афана́сий
afar	noun	афа́рский|афа́рский язы́к|данаки́льский|данаки́льский язы́к|вдалеке́|вдали́
