lemma	part_of_speech	translations
's		蜂
free	adjective	有|自由|免費|放
ish	adverb	不多|大約
less	adverb	有|减
like	verb	像|喜欢
sama		像
y		像
101	adjective	入门
2cv	noun	鴨
a coruña	noun	拉科鲁尼亚
a minor	noun	小調
a-bomb	noun	原子弹
a-minor	noun	小調
abc	noun	字母表
ac	noun	交流
ad	adverb	公元
ai	noun	人工智能
ai winter	noun	人工智慧低谷|人工智能之冬
aids	noun	艾滋病
and	noun	与|和|以及
atm	noun	自动取款机
aachen	noun	阿亨
aarhus	noun	奥尔胡斯
abdullah	noun	阿卜杜拉
abel	noun	亚伯
abidjan	noun	阿比让
abiko	noun	我孫子
abkhaz	adjective	阿布哈兹语
abkhazia	noun	阿布哈茲|阿布哈兹
aborigine	noun	土著|土着
abraham	noun	亞伯拉罕
abram	noun	亞伯拉罕
abruzzo	noun	阿布魯佐
abu dhabi	noun	阿布扎比
abyssinia	noun	阿比西尼亚
acadia	noun	阿卡迪亚
accra	noun	阿克拉
achilles	noun	阿喀琉斯
achilles heel	noun	跟腱
achilles tendon	noun	跟腱
acre	noun	阿克里州|英亩
adam	noun	亞當|亚当
addis ababa	noun	亚的斯亚贝巴|亞的斯亞貝巴
adelie penguin	noun	阿德利企鵝
adige	noun	阿迪杰河
adonis	noun	阿多尼斯
adrian	noun	阿帝安
adriatic sea	noun	亚得里亚海
adyghe	noun	阿迪格語
aegean sea	noun	爱琴海
aeneid	noun	埃涅阿斯纪
aeolian harp	noun	风弦琴
aeschines	noun	埃斯基涅斯
aeschylus	noun	埃斯库罗斯
aesop	noun	伊索
afghan	adjective	阿富汗的|阿富汗人
afghanistan	noun	阿富汗
africa	noun	非洲
african	noun	非洲人
african union	noun	非洲联盟
afrikaans	noun	南非荷兰语|南非语
afro-eurasia	noun	欧亚非大陆
age of enlightenment	noun	启蒙时代
agrigento	noun	阿格里真托
agrinio	noun	阿格林尼翁
aguascalientes	noun	阿瓜斯卡连特斯
ain	noun	安河
ainu	adjective	阿伊努
aion	noun	万古
aisne	noun	埃纳河
aizuwakamatsu	noun	會津若松
ajaccio	noun	阿雅克肖
akaiwa	noun	赤磐
akan	noun	阿坎语
akashi	noun	明石
aki	noun	安藝
aksum	noun	阿克苏姆
alabama	noun	亚拉巴马
alaska	noun	阿拉斯加
albania	noun	阿尔巴尼亚|阿爾巴尼亞
albanian	adjective	阿尔巴尼亚语|阿尔巴尼亚的|阿尔巴尼亚人|阿爾巴尼亞語
albert	noun	艾伯特
alberta	noun	艾伯塔省
alcoholics anonymous	noun	匿名戒酒會
aleppo	noun	阿勒颇
aleppo pine	noun	地中海松
alexander	noun	亚历山大
alexandria	noun	亚历山大
alexandroupoli	noun	亞歷山德魯波利斯
algeria	noun	阿尔及利亚|阿爾及利亞
algiers	noun	阿尔及尔
alice	noun	愛麗斯
allah	noun	安拉
allied	adjective	同盟的
allier	noun	阿列省
allies	noun	同盟国
almaty	noun	阿拉木图
almighty	noun	万能 [wànnéng]|全能的
alpes-maritimes	noun	滨海阿尔卑斯省
alpes-de-haute-provence	noun	上普罗旺斯阿尔卑斯省
alps	noun	阿尔卑斯山
alsace	noun	阿尔萨斯
altai	noun	阿尔泰山脉
altdorf	noun	阿尔特多夫
amalthea	noun	木星五
amami	noun	奄美
amazon	noun	亚马逊河
amazon rainforest	noun	亚马孙古陆
amazonas	noun	亚马逊河
amazonia	noun	亚马孙古陆
ameland	noun	阿默蘭島
american	noun	美国人
american civil war	noun	南北戰爭
american dream	noun	美国梦
american english	noun	美国英语
american samoa	noun	美属萨摩亚|美屬薩摩亞
american sign language	noun	美国手语
american bison	noun	美洲野牛
american black bear	noun	狗熊
american bullfrog	noun	牛蛙
american football	noun	美式足球
american lobster	noun	波士頓龍蝦
americanize	verb	美国化
americas	noun	美洲
amharic	noun	阿比西尼亚官语
amitābha	noun	無量光佛
amman	noun	安曼
amos	noun	阿摩司书
amsterdam	noun	阿姆斯特丹
amur	noun	黑龙江
anabaptism	noun	再洗礼派
anastasia	noun	阿纳斯塔西娅
anatolia	noun	安纳托利亚
ancient greece	noun	古希腊
ancient greek	noun	古代希腊语
ancona	noun	安科纳
andalusia	noun	安达卢西亚
andaman sea	noun	安达曼海
andean condor	noun	禿鷹 秃鹰
andes	noun	安地斯山脈
andhra pradesh	noun	安得拉邦
andorra	noun	安道尔
andorra la vella	noun	安道尔城
andrew	noun	安德鲁
andromache	noun	安德洛玛刻
andromeda	noun	仙女座
angara	noun	安加拉河
angela	noun	天使
angelo	noun	天使
anglia	noun	捕魚
anglicanism	noun	聖公宗
anglicism	noun	英國英語
anglo-		英語
anglo-saxon	adjective	盎格魯-撒克遜
anglophone	noun	操英語的
anglosphere	noun	英语圈
angola	noun	安哥拉
anguilla	noun	安圭拉
anhui	noun	安徽
ankara	noun	安卡拉
ann	noun	安娜
annaka	noun	安中
annam	noun	安南
anno domini	adverb	公元
antananarivo	noun	安塔那那利佛
antarctic	adjective	南极洲
antarctica	noun	南极洲
antares	noun	心宿二
antes	noun	之前
anthony	noun	安东尼
anthropocene	noun	人類世
antichrist	noun	反基督|敌基督
antigua and barbuda	noun	安提瓜和巴布达|安提瓜岛和巴布达
antikythera	noun	安迪基西拉岛
antiquity	noun	古代
antlia	noun	唧筒座
antonius	noun	安托万
antwerp	noun	安特卫普
anubis	noun	阿努比斯
ao	noun	江|鰲|敖
apennines	noun	亞平寧山脈
aphrodite	noun	阿佛洛狄忒
apocalypse	noun	启示录
apollo	noun	阿波罗
apostle	noun	使徒
