lemma	part_of_speech	translations
fpv-дрон	noun	FPV drone
l-образный	adjective	L-shaped
pdf-файл	noun	PDF-file|pedophile|childlover
s-образный	adjective	S-shaped
sim-карта	noun	SIM card
svf-терапия	noun	SVF therapy
u-образный	adjective	U-shaped
v-образный	adjective	V-shaped
y-образный	adjective	Y-shaped
z-образный	adjective	Z-shaped
ёкшин	noun	Yokshin
ёркин	noun	Yorkin
ёрунд	noun	Jorund
аэс	noun	NPP
аазаз	noun	Azaz
аален	noun	Aalen
ааргау	noun	Canton of Argovia
аарон	noun	Aaron
ааронов	noun	Aaron's|Aaronov
аахен	noun	Aachen
абадан	noun	Abadan
абаимов	noun	Abaimov
абайкан	noun	Abaykan
абака	noun	Abaqa|abacus|abaca
абасири	noun	Abashiri
абаша	noun	Abasha
абашидзе	noun	Abashidze
аббация	noun	Abbazia
абдон	noun	Abdon
абдразаков	noun	Abdrazakov
абдулла	noun	Abdullah
абель	noun	Abel
абиджан	noun	Abidjan
абико	noun	Abiko
абинск	noun	Abinsk
абиссиния	noun	Abyssinia
абитиби	noun	Abitibi
або	noun	Abo
абоимов	noun	Aboimov
абрам	noun	Abram|Abraham
абраменко	noun	Abramenko
абрамс	noun	Abrams
абрамский	noun	Abramsky
абрамцев	noun	Abramtsev
абрикосов	noun	Abrikosov
абруццо	noun	Abruzzo
абу-даби	noun	Abu Dhabi
абхазия	noun	Abkhazia
авалокитешвара	noun	Avalokiteśvara
аванесов	noun	Avanesov
аварский	adjective	Avarskiy|Avarian
аваруа	noun	Avarua
авгий	noun	Augeas
август	noun	Augustus|Avgust|August|<u>Au</u>gust
августа	noun	Augusta
августина	noun	Augustina|Augustine
авдашков	noun	Avdashkov
авдей	noun	Avdei
авдий	noun	Abdias
авдон	noun	Avdon|Abdon
авдулов	noun	Avdulov
авдушев	noun	Avdushev
авентура	noun	Aventura
аверин	noun	Averin
аверкин	noun	Averkin
аверьян	noun	Averyan
авиафар	noun	Abiathar
авилин	noun	Avilin
австралазия	noun	Australasia
австралия	noun	Australia
австрия	noun	Austria
австро-венгрия	noun	Austria-Hungary
австронезия	noun	Austronesia
агава	noun	Agave|agave
агаев	noun	Agayev
агарь	noun	Agar’|Hagar
агафия	noun	Agatha
агафон	noun	Agatho
агафья	noun	Agatha
аглая	noun	Aglaia|Aglaea
агнесса	noun	Agnessa
агнета	noun	Agnes
аграфена	noun	Agraphena
агуаскальентес	noun	Aguascalientes|Aguascalientes City
агузаров	noun	Aguzarov
ада	noun	Ada
адад	noun	Adad
адаев	noun	Adayev
адам	noun	Adam
аддисон	noun	Addison
аделаида	noun	Adelaide|Adelaida
аделина	noun	Adeline
аджария	noun	Adjaria
адлер	noun	Adler
адмиралтейство	noun	Admiralty|admiralty
адольф	noun	Adolph|Adolf
адонис	noun	Adonis
адыгейск	noun	Adygeysk
адыча	noun	Adycha
азазель	noun	Azazel
азалия	noun	Azalea|azalea
азербайджан	noun	Azerbaijan|Azerbaij<u>a</u>n
азизов	noun	Azizov
азия	noun	<u>A</u>sia|Asia
аид	noun	Hades|hell
ай-петри	noun	Ai-Petri
айвори	noun	Ivory
