lemma	part_of_speech	translations
51區	noun	Зо́на 51
69式	noun	[[по́за]] [[шестьдеся́т де́вять]]|по́за 69
a大調	noun	ля мажо́р
b大調	noun	си мажо́р
c大調	noun	до мажо́р
d大調	noun	ре мажо́р
e大調	noun	ми мажо́р
f大調	noun	фа мажо́р
g大調	noun	соль мажо́р
t恤	noun	ма́йка|те́нниска|тишо́тка|футбо́лка
x射線	noun	[[рентге́новский]] луч|рентге́н
x軸	noun	ось x|ось абсци́сс
y軸	noun	ось y|ось ордина́т
z軸	noun	ось z|ось апплика́т
a小調	noun	ля мино́р
b小調	noun	си мино́р
c小調	noun	c-móll|до мино́р
d小調	noun	ре мино́р
e小調	noun	ми мино́р
f小調	noun	фа мино́р
g小調	noun	со́ль мино́р
μ子	noun	мюо́н
㑇憋憋	noun	крутой|свирепый|своенравный
㒍㒍	noun	уставать|усталый|утомляться|утомлённый
㒼爰	noun	бамбуковая|диал.|для|дощечка|письма
㓖冹	noun	ветре|леденящий|о|холодный
㔩棌	noun	вид|для|женской|прически|украшений
㘓哰	noun	абракадабра|бормотание|непонятное|неразборчивая|речь
㙮㙮	noun	в|см.|сочетании|только|圪㙮
㛹妍	noun	изящный|красивый|прекрасный
㛹娟	noun	изящный|красивый|прекрасный
㤘憋	noun	капризный|несговорчивый|новокит.|своенравный|упрямый
㥏㥏	noun	застыдившийся|конфузиться|сконфуженный|смущаться|смущённый|стесняться
㥏愧	noun	смущаться|стесняться
㥏默	noun	и|смутиться|смущённо|умолкнуть
㨪蕩	noun	см.|晃蕩
㨮攬	noun	захватывать|к|прибирать|рукам
㩐搭	noun	и|ослаблять|отпускать|подтягивать|тащить|тянуть
㫃蹇	noun	высокий
㭘室	noun	ножны
㭰啄	noun	клевать|клюв
㯿欇	noun	Arn.|Mucuna|Wight|capitata|et|бархатные
㲲毼	noun	грубая|и|ткань|тонкая|шерстяная
㴩湖	noun	Хунани|Юнху|в|назв.|озера|по
㵎水	noun	горный|поток|ручей
㵎溝	noun	горный|поток|ручей
㵎邊	noun	берег|берегу|горного|на|ручья
㷍醇	noun	карболка|карболовая|кислота|фенол
㹠子	noun	поросёнок
㹠耳草	noun	L.|Portulaca|oleracea|бот.|огородный|портулак
㹴犬	noun	терье́р
㺒㤉	noun	вероломный|коварный
㺢㹢狓	noun	ока́пи
㽱腸痧	noun	холера
㾕㾕	noun	дрожать|озноба|от|трястись
㿜嘴	noun	впалый|рот
㿜嘴子	noun	беззубый
